session_id,pred_mapped_techniques,pred_mapped_names,pred_confidence,pred_why,summary,true_technique_ids,pred_label
47cdaf1e-9c8d-5933-b11a-54db78c0f911,['T1205.001'],['Port Knocking'],0.43841374128571425,['indicator:cmd_injection'],tool=nmap label=attack_like src_ip=95.142.120.34 event_count=10 rps=0.625 unique_ports=10 indicator_hits=10 reasons=['indicator:cmd_injection'],,attack_like
040cce28-ec86-509f-a3cc-5a3142b750e2,['T1596.005'],['Scan Databases'],0.37270130378571426,['tool_fingerprint:dir_enum'],tool=gobuster label=attack_like src_ip=152.58.39.230 event_count=2 rps=2.0 unique_ports=1 indicator_hits=0 reasons=['tool_fingerprint:dir_enum'],,attack_like
f37dc7fa-c4ed-59ad-9ead-de6479038a40,['T1016.001'],['Internet Connection Discovery'],0.46109988428571425,['indicator:cmd_injection' 'indicator:ssti_probe' 'indicator:rce_probe'],tool=browser/unknown label=attack_like src_ip=195.133.40.83 event_count=2 rps=2.0 unique_ports=2 indicator_hits=3 reasons=['indicator:cmd_injection' 'indicator:ssti_probe' 'indicator:rce_probe'],,attack_like
0b13eb41-29af-5fd1-9ffe-5a073d28302e,['T1016.001'],['Internet Connection Discovery'],0.4622191626428571,['indicator:cmd_injection' 'behavior:burst_rps>=3'],tool=browser/unknown label=attack_like src_ip=199.45.154.18 event_count=3 rps=3.0 unique_ports=3 indicator_hits=2 reasons=['indicator:cmd_injection' 'behavior:burst_rps>=3'],,attack_like
cee4ca97-2666-5e8c-a659-bcf306b69b64,['T1518.001'],['Security Software Discovery'],0.4635280861428571,['indicator:cmd_injection' 'behavior:burst_rps>=3'],tool=browser/unknown label=attack_like src_ip=35.216.250.8 event_count=6 rps=3.0 unique_ports=6 indicator_hits=5 reasons=['indicator:cmd_injection' 'behavior:burst_rps>=3'],,attack_like
56fcfd55-c5db-5b01-a965-b295c426e5e1,['T1590.006'],['Network Security Appliances'],0.49334806499999995,"['indicator:sql_injection' 'indicator:cmd_injection'
 'behavior:burst_rps>=3']","tool=browser/unknown label=attack_like src_ip=43.128.107.61 event_count=20 rps=6.666666666666667 unique_ports=16 indicator_hits=8 reasons=['indicator:sql_injection' 'indicator:cmd_injection'
 'behavior:burst_rps>=3']",,attack_like
2efab600-d055-5e8d-9a40-43f4440ddf0c,['T1016.001'],['Internet Connection Discovery'],0.46717871714285714,['indicator:cmd_injection' 'behavior:burst_rps>=3'],tool=browser/unknown label=attack_like src_ip=167.94.138.125 event_count=3 rps=3.0 unique_ports=3 indicator_hits=2 reasons=['indicator:cmd_injection' 'behavior:burst_rps>=3'],,attack_like
f8ab0ed5-5515-5de1-acfa-e92dbddc7099,['T1518.001'],['Security Software Discovery'],0.4732870296428571,['indicator:cmd_injection' 'behavior:burst_rps>=3'],tool=browser/unknown label=attack_like src_ip=20.127.151.147 event_count=6 rps=6.0 unique_ports=1 indicator_hits=6 reasons=['indicator:cmd_injection' 'behavior:burst_rps>=3'],,attack_like
c56deee9-c0b4-51f8-80df-d24191ee9383,['T1065'],['Uncommonly Used Port'],0.49987932214285713,['indicator:cmd_injection' 'behavior:many_ports'],tool=browser/unknown label=attack_like src_ip=35.90.194.246 event_count=27 rps=2.4545454545454546 unique_ports=27 indicator_hits=27 reasons=['indicator:cmd_injection' 'behavior:many_ports'],,attack_like
081385ed-32b5-59e8-96df-e0ab27e23814,['T1065'],['Uncommonly Used Port'],0.49952929214285713,['indicator:cmd_injection' 'behavior:many_ports'],tool=browser/unknown label=attack_like src_ip=38.242.216.62 event_count=22 rps=0.2268041237113402 unique_ports=22 indicator_hits=22 reasons=['indicator:cmd_injection' 'behavior:many_ports'],,attack_like
